"postId","platform","title","caption","cta","hashtags","imageFile","suggestedDate","status"
"PZ-004","instagram","Five Minute Enrichment Tip","5 Minute Brain Game

Try this when your dog needs something simple, satisfying and brain-friendly to do.

Hide a treat, let them sniff, celebrate the solve.

Save this tip for later.

#Pawzzles #DogEnrichment #DogToys #HappyDogs #BoredomBusters #MentalStimulationForDogs #BrainGamesForDogs #SniffAndSolve","Save this tip for later","#Pawzzles #DogEnrichment #DogToys #HappyDogs #BoredomBusters #MentalStimulationForDogs #BrainGamesForDogs #SniffAndSolve","output/images/PZ-004-five-minute-enrichment-tip.svg","2026-06-10","approved"
"PZ-004","facebook","Five Minute Enrichment Tip","5 Minute Brain Game

Try this when your dog needs something simple, satisfying and brain-friendly to do. Hide a treat, let them sniff, celebrate the solve.

If your dog loves sniffing, searching or solving, this is your sign to add a little enrichment to their day.

Save this tip for later.","Save this tip for later","#Pawzzles #DogEnrichment #DogToys #HappyDogs #BoredomBusters #MentalStimulationForDogs #BrainGamesForDogs #SniffAndSolve","output/images/PZ-004-five-minute-enrichment-tip.svg","2026-06-10","approved"
"PZ-005","instagram","Customer Story: Mabel","Mabel Loves A Puzzle

Some dogs do not need louder play. They need a clever little challenge they can feel proud of solving.

Ten calmer minutes, one very proud little dog.

Find your dog's next puzzle.

#Pawzzles #DogEnrichment #DogToys #HappyDogs #BoredomBusters #HealthyHappyDogs #DogRoutine #EnrichmentTime","Find your dog's next puzzle","#Pawzzles #DogEnrichment #DogToys #HappyDogs #BoredomBusters #HealthyHappyDogs #DogRoutine #EnrichmentTime","output/images/PZ-005-customer-story-mabel.svg","2026-06-12","scheduled"
"PZ-005","facebook","Customer Story: Mabel","Mabel Loves A Puzzle

Some dogs do not need louder play. They need a clever little challenge they can feel proud of solving. Ten calmer minutes, one very proud little dog.

If your dog loves sniffing, searching or solving, this is your sign to add a little enrichment to their day.

Find your dog's next puzzle.","Find your dog's next puzzle","#Pawzzles #DogEnrichment #DogToys #HappyDogs #BoredomBusters #HealthyHappyDogs #DogRoutine #EnrichmentTime","output/images/PZ-005-customer-story-mabel.svg","2026-06-12","scheduled"
"PZ-006","instagram","Launch Offer","Launch Treat

Our launch treat is a small thank you for the first Pawzzles customers joining the pack.

A little thank you for early Pawzzles customers.

Tap to explore the launch offer.

#Pawzzles #DogEnrichment #DogToys #HappyDogs #BoredomBusters #SmallBusinessUK #DogLovers #ShopSmall","Tap to explore the launch offer","#Pawzzles #DogEnrichment #DogToys #HappyDogs #BoredomBusters #SmallBusinessUK #DogLovers #ShopSmall","output/images/PZ-006-launch-offer.svg","2026-06-14","approved"
"PZ-006","facebook","Launch Offer","Launch Treat

Our launch treat is a small thank you for the first Pawzzles customers joining the pack. A little thank you for early Pawzzles customers.

If your dog loves sniffing, searching or solving, this is your sign to add a little enrichment to their day.

Tap to explore the launch offer.","Tap to explore the launch offer","#Pawzzles #DogEnrichment #DogToys #HappyDogs #BoredomBusters #SmallBusinessUK #DogLovers #ShopSmall","output/images/PZ-006-launch-offer.svg","2026-06-14","approved"
"PZ-011","instagram","QR At Pop-Up Table","Spotted Us?

A quick scan can lead you straight to playful enrichment ideas for your dog.

Scan the code and find your dog's next brain game.

Scan to shop Pawzzles.

#Pawzzles #DogEnrichment #DogToys #HappyDogs #BoredomBusters #ScanToShop #DogBusiness #ShopSmall","Scan to shop Pawzzles","#Pawzzles #DogEnrichment #DogToys #HappyDogs #BoredomBusters #ScanToShop #DogBusiness #ShopSmall","output/images/PZ-011-qr-at-pop-up-table.svg","2026-06-24","scheduled"
"PZ-011","facebook","QR At Pop-Up Table","Spotted Us?

A quick scan can lead you straight to playful enrichment ideas for your dog. Scan the code and find your dog's next brain game.

If your dog loves sniffing, searching or solving, this is your sign to add a little enrichment to their day.

Scan to shop Pawzzles.","Scan to shop Pawzzles","#Pawzzles #DogEnrichment #DogToys #HappyDogs #BoredomBusters #ScanToShop #DogBusiness #ShopSmall","output/images/PZ-011-qr-at-pop-up-table.svg","2026-06-24","scheduled"
"PZ-012","instagram","Gift For Dog Lovers","A Gift They Can Sniff

Enrichment gives your dog a job for their nose, brain and natural curiosity.

For dogs who deserve more than another squeaky toy.

Treat them to better playtime.

#Pawzzles #DogEnrichment #DogToys #HappyDogs #BoredomBusters #DogGiftIdeas #GiftsForDogLovers #DogMum","Treat them to better playtime","#Pawzzles #DogEnrichment #DogToys #HappyDogs #BoredomBusters #DogGiftIdeas #GiftsForDogLovers #DogMum","output/images/PZ-012-gift-for-dog-lovers.svg","2026-06-26","approved"
"PZ-012","facebook","Gift For Dog Lovers","A Gift They Can Sniff

Enrichment gives your dog a job for their nose, brain and natural curiosity. For dogs who deserve more than another squeaky toy.

If your dog loves sniffing, searching or solving, this is your sign to add a little enrichment to their day.

Treat them to better playtime.","Treat them to better playtime","#Pawzzles #DogEnrichment #DogToys #HappyDogs #BoredomBusters #DogGiftIdeas #GiftsForDogLovers #DogMum","output/images/PZ-012-gift-for-dog-lovers.svg","2026-06-26","approved"
